% Model:              normal_decel_full_geometry.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jun 25 2017, 15:20
% Dimension:          3
% Nodes:              2541
% Expressions:        3
% Description:        Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        mm
% x                       y                        z                        es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0.7000000000000001        0.9000000000000001       -5.461                   389540.1384274906        -143812.32059776827      1333.4950509725604
0.8                       0.9000000000000001       -5.461                   439601.63812377723       -99081.77802107          1283.1261216572893
0.9000000000000001        0.9000000000000001       -5.461                   485821.0954499523        -53278.41443943221       -1414.5067343883566
1                         0.9000000000000001       -5.461                   522251.6730527466        6.888259751554013E-10    4.381668947537236
0                         1                        -5.461                   346.3804838069482        -276446.10124451004      -57.081196282524616
0.1                       1                        -5.461                   62205.036111314315       -273363.8798362161       -584.8586998158135
0.2                       1                        -5.461                   124374.16379184893       -264582.29896469123      -329.0825187587179
0.30000000000000004       1                        -5.461                   186802.75804715022       -249626.22296654922      -1349.8133744361694
0.4                       1                        -5.461                   248219.1920803588        -230701.58497788385      -694.9067767168162
0.5                       1                        -5.461                   309638.2230598527        -205287.42449348737      -2961.5202920965385
0.6000000000000001        1                        -5.461                   370271.154449414         -174270.93988214835      -868.6676327683963
0.7000000000000001        1                        -5.461                   428952.51050772634       -138165.1555343409       -656.8018493333366
0.8                       1                        -5.461                   484479.6384387593        -97273.61407719657       -31.897047971724533
0.9000000000000001        1                        -5.461                   534352.6706822717        -50294.55750122102       -203.82332312661447
1                         1                        -5.461                   577875.9272759827        7.512426388461858E-10    -2152.8361299427343
0                         0                        -5.187950000000001       1860.378170712298        -346251.2329668217       -490.8344807408321
0.1                       0                        -5.187950000000001       -227.62483742809854      -342683.1061913987       4.636146606857437
0.2                       0                        -5.187950000000001       1944.8939587206246       -333702.35077966953      -628.7358727754163
0.30000000000000004       0                        -5.187950000000001       561.806426471856         -317536.4665381332       152.92705929867225
0.4                       0                        -5.187950000000001       528.3079822673462        -292882.37384348415      -930.5302392596786
0.5                       0                        -5.187950000000001       -165.12001864569174      -264525.92031878437      763.8281419001287
0.6000000000000001        0                        -5.187950000000001       171.00164635749934       -226988.60714599653      1186.3726771513902
0.7000000000000001        0                        -5.187950000000001       -466.91699485816207      -183731.47478398797      1041.999591329166
0.8                       0                        -5.187950000000001       -55.18479136836095       -134160.92680326363      104.58080062806857
0.9000000000000001        0                        -5.187950000000001       -844.0843309535303       -78619.26982879396       792.3770169124
1                         0                        -5.187950000000001       -187.14180379192658      -15459.764849181534      -66.92752608436513
